id,is_quote_status,quote_count,reply_count,retweet_count,favorite_count,favorited,retweeted
1250575897687666694,False,0,0,0,0,False,False
1250575908295016450,False,0,0,0,0,False,False
1250575964456849408,True,0,0,0,0,False,False
1250576180253728776,False,0,0,0,0,False,False
1250576574207987714,False,0,0,0,0,False,False
1250577707777159169,False,0,0,0,0,False,False
1250577878405779456,False,0,0,0,0,False,False
1250577981359210501,False,0,0,0,0,False,False
1250578495186644998,False,0,0,0,0,False,False
1250579339281862658,False,0,0,0,0,False,False
1250579583470055425,False,0,0,0,0,False,False
1250581294574194688,False,0,0,0,0,False,False
1250581430154993665,False,0,0,0,0,False,False
1250581823115218951,False,0,0,0,0,False,False
1250581847228264450,False,0,0,0,0,False,False
1250582988166967297,False,0,0,0,0,False,False
1250583051312250881,False,0,0,0,0,False,False
1250583334171955201,False,0,0,0,0,False,False
1250583383282941955,False,0,0,0,0,False,False
1250583534575779842,False,0,0,0,0,False,False
1250584102979461122,False,0,0,0,0,False,False
1250584463978848256,False,0,0,0,0,False,False
1250584493464915970,False,0,0,0,0,False,False
1250584505708052482,False,0,0,0,0,False,False
1250585006990217216,False,0,0,0,0,False,False
1250585445832024064,False,0,0,0,0,False,False
1250585640850382848,False,0,0,0,0,False,False
1250586003800240128,False,0,0,0,0,False,False
1250586028550713344,False,0,0,0,0,False,False
1250586109035327489,False,0,0,0,0,False,False
1250586382608842755,False,0,0,0,0,False,False
1250586418948329475,False,0,0,0,0,False,False
1250586649198813184,False,0,0,0,0,False,False
1250586778546974720,False,0,0,0,0,False,False
1250587289513852930,False,0,0,0,0,False,False
1250587498302124036,False,0,0,0,0,False,False
1250587695136505863,False,0,0,0,0,False,False
1250587987685052418,False,0,0,0,0,False,False
1250588586086367232,False,0,0,0,0,False,False
1250588846514933760,False,0,0,0,0,False,False
1250588984423723008,True,0,0,0,0,False,False
1250589332362203138,False,0,0,0,0,False,False
1250589340016705537,False,0,0,0,0,False,False
1250589539690860544,False,0,0,0,0,False,False
1250590481677004801,False,0,0,0,0,False,False
1250590735252033536,False,0,0,0,0,False,False
1250591043197730823,False,0,0,0,0,False,False
1250591141206151172,False,0,0,0,0,False,False
1250591282281492484,False,0,0,0,0,False,False
1250591748897767424,False,0,0,0,0,False,False
1250591944780087296,False,0,0,0,0,False,False
1250592200544718848,False,0,0,0,0,False,False
1250592281087881216,False,0,0,0,0,False,False
1250592728959811584,True,0,0,0,0,False,False
1250593712998154248,False,0,0,0,0,False,False
1250593746934251521,False,0,0,0,0,False,False
1250593775598161927,False,0,0,0,0,False,False
1250593777531654145,False,0,0,0,0,False,False
1250594178188402689,False,0,0,0,0,False,False
1250594492874403840,False,0,0,0,0,False,False
1250594606862884864,False,0,0,0,0,False,False
1250594761091584000,False,0,0,0,0,False,False
1250594884970479617,False,0,0,0,0,False,False
1250594890234204161,False,0,0,0,0,False,False
1250595014276714496,False,0,0,0,0,False,False
1250595232972001280,False,0,0,0,0,False,False
1250595585733902339,False,0,0,0,0,False,False
1250595650263187456,False,0,0,0,0,False,False
1250595871806435329,False,0,0,0,0,False,False
1250595974403313664,False,0,0,0,0,False,False
1250596675980193793,False,0,0,0,0,False,False
1250596884458156032,False,0,0,0,0,False,False
1250596963239841792,False,0,0,0,0,False,False
1250597129481007104,False,0,0,0,0,False,False
1250597993679642625,False,0,0,0,0,False,False
1250598499252568065,True,0,0,0,0,False,False
1250598785832509445,False,0,0,0,0,False,False
1250599144827338754,False,0,0,0,0,False,False
1250599320367267840,False,0,0,0,0,False,False
1250599643022536707,False,0,0,0,0,False,False
1250599946996285441,False,0,0,0,0,False,False
1250599957276643328,False,0,0,0,0,False,False
1250600627174092800,False,0,0,0,0,False,False
1250601261457707009,False,0,0,0,0,False,False
1250601348644499456,False,0,0,0,0,False,False
1250601881728176128,False,0,0,0,0,False,False
1250602587059040257,False,0,0,0,0,False,False
1250602836859195392,False,0,0,0,0,False,False
1250603555452522498,False,0,0,0,0,False,False
1250603569377509378,False,0,0,0,0,False,False
1250603953525534720,False,0,0,0,0,False,False
1250604110082183168,False,0,0,0,0,False,False
1250604309949100033,False,0,0,0,0,False,False
1250604335714762757,False,0,0,0,0,False,False
1250604383584346113,False,0,0,0,0,False,False
1250604807582343175,False,0,0,0,0,False,False
1250606178884898816,False,0,0,0,0,False,False
1250606378827333638,False,0,0,0,0,False,False
1250606447727194122,False,0,0,0,0,False,False
1250606818671427587,False,0,0,0,0,False,False
1250607052285755392,False,0,0,0,0,False,False
1250607230350774274,False,0,0,0,0,False,False
1250607397003034626,False,0,0,0,0,False,False
1250607427051028480,False,0,0,0,0,False,False
1250607436651802625,False,0,0,0,0,False,False
1250607585616637952,False,0,0,0,0,False,False
1250607773106221057,False,0,0,0,0,False,False
1250608016237277185,False,0,0,0,0,False,False
1250608034436521984,False,0,0,0,0,False,False
1250608433209864192,False,0,0,0,0,False,False
1250608645085310976,False,0,0,0,0,False,False
1250608833426124801,False,0,0,0,0,False,False
1250609053958656000,False,0,0,0,0,False,False
1250609196724359169,False,0,0,0,0,False,False
1250609238646407173,False,0,0,0,0,False,False
1250609317746814979,False,0,0,0,0,False,False
1250610237121409025,False,0,0,0,0,False,False
1250610761631744001,True,0,0,0,0,False,False
1250612007881015297,False,0,0,0,0,False,False
1250613750073360387,False,0,0,0,0,False,False
1250614198129889280,False,0,0,0,0,False,False
1250614721004396544,False,0,0,0,0,False,False
1250616213698478080,False,0,0,0,0,False,False
1250616296380739584,False,0,0,0,0,False,False
1250617526381395968,False,0,0,0,0,False,False
1250619105448562688,False,0,0,0,0,False,False
1250619253138632704,False,0,0,0,0,False,False
1250621770840842240,False,0,0,0,0,False,False
1250623747754778624,True,0,0,0,0,False,False
1250623779463725057,False,0,0,0,0,False,False
1250625142444695554,False,0,0,0,0,False,False
1250625298648969217,False,0,0,0,0,False,False
1250625731111108613,False,0,0,0,0,False,False
1250626608827904003,False,0,0,0,0,False,False
1250626714482466817,False,0,0,0,0,False,False
1250626732966719488,False,0,0,0,0,False,False
1250627103470555137,False,0,0,0,0,False,False
1250627903697620993,False,0,0,0,0,False,False
1250628027035250688,False,0,0,0,0,False,False
1250628113601646592,False,0,0,0,0,False,False
1250628144790454274,False,0,0,0,0,False,False
1250628145742479360,False,0,0,0,0,False,False
1250628150633148419,False,0,0,0,0,False,False
1250628385673490432,False,0,0,0,0,False,False
1250628676414083072,False,0,0,0,0,False,False
1250629056590200832,False,0,0,0,0,False,False
1250629112340889601,False,0,0,0,0,False,False
1250629402117001216,False,0,0,0,0,False,False
1250630404731789312,False,0,0,0,0,False,False
1250630519911518210,False,0,0,0,0,False,False
1250630791383654401,False,0,0,0,0,False,False
1250630868311425024,False,0,0,0,0,False,False
1250631364732428288,False,0,0,0,0,False,False
1250631434445811713,False,0,0,0,0,False,False
1250631611621814273,False,0,0,0,0,False,False
1250631725568458752,False,0,0,0,0,False,False
1250631773353984000,False,0,0,0,0,False,False
1250633412353892352,False,0,0,0,0,False,False
1250634524909862913,False,0,0,0,0,False,False
1250634642606129159,False,0,0,0,0,False,False
1250636306977304576,False,0,0,0,0,False,False
1250636427693522946,False,0,0,0,0,False,False
1250636744669757441,False,0,0,0,0,False,False
1250637478068969472,False,0,0,0,0,False,False
1250638099786412032,False,0,0,0,0,False,False
1250638107931803648,False,0,0,0,0,False,False
1250638354812633090,False,0,0,0,0,False,False
1250639402990264324,False,0,0,0,0,False,False
1250639405955629062,False,0,0,0,0,False,False
1250640022153330692,False,0,0,0,0,False,False
1250640296594993154,False,0,0,0,0,False,False
1250640603542548480,False,0,0,0,0,False,False
1250640731053719557,False,0,0,0,0,False,False
1250640767552565253,False,0,0,0,0,False,False
1250640802864336896,False,0,0,0,0,False,False
1250641555850956802,False,0,0,0,0,False,False
1250641711732326400,False,0,0,0,0,False,False
1250642594905939968,False,0,0,0,0,False,False
1250644728095346688,True,0,0,0,0,False,False
1250645348835614725,False,0,0,0,0,False,False
1250646257422516224,False,0,0,0,0,False,False
1250646550596014080,True,0,0,0,0,False,False
1250647439650029570,True,0,0,0,0,False,False
1250647889271050241,False,0,0,0,0,False,False
1250648615053393922,False,0,0,0,0,False,False
1250648881349738496,False,0,0,0,0,False,False
1250649342207115271,False,0,0,0,0,False,False
1250649771766882309,False,0,0,0,0,False,False
1250650250773237760,False,0,0,0,0,False,False
1250650469908742150,False,0,0,0,0,False,False
1250651390399127552,False,0,0,0,0,False,False
1250651450536890369,False,0,0,0,0,False,False
1250651569491709952,False,0,0,0,0,False,False
1250652205356658688,False,0,0,0,0,False,False
1250652645003583488,False,0,0,0,0,False,False
1250652870485123072,False,0,0,0,0,False,False
1250653629595504641,False,0,0,0,0,False,False
1250653766522507265,False,0,0,0,0,False,False
1250654342077546496,False,0,0,0,0,False,False
1250654671338905600,False,0,0,0,0,False,False
1250655431694974981,False,0,0,0,0,False,False
1250657539647307778,False,0,0,0,0,False,False
1250657731306033164,False,0,0,0,0,False,False
1250658042611458049,False,0,0,0,0,False,False
1250658449790287872,False,0,0,0,0,False,False
1250659769435795456,False,0,0,0,0,False,False
1250660162647609344,False,0,0,0,0,False,False
1250660666282835968,False,0,0,0,0,False,False
1250660732108189696,False,0,0,0,0,False,False
1250660847065628672,False,0,0,0,0,False,False
1250660965995208704,False,0,0,0,0,False,False
1250661445001515008,False,0,0,0,0,False,False
1250662142904348672,False,0,0,0,0,False,False
1250662607071182848,False,0,0,0,0,False,False
1250662717880492032,False,0,0,0,0,False,False
1250663212523106304,False,0,0,0,0,False,False
1250663525183340546,False,0,0,0,0,False,False
1250663656876052481,False,0,0,0,0,False,False
1250663828163084289,False,0,0,0,0,False,False
1250664234876391434,False,0,0,0,0,False,False
1250664391646871552,False,0,0,0,0,False,False
1250666758580637697,False,0,0,0,0,False,False
1250666786837716994,False,0,0,0,0,False,False
1250667027397660672,False,0,0,0,0,False,False
1250669981349539840,False,0,0,0,0,False,False
1250670044905906176,False,0,0,0,0,False,False
1250670588122857473,True,0,0,0,0,False,False
1250671073726795776,False,0,0,0,0,False,False
